ポイント名,外気温,GHP-1     ｶﾞｽ量,GHP-1     1F 室内温度,GHP-1     ｶﾞｽ消費率,GHP-1     1F 運転状態
単位,℃,m3,℃,%,分
2017/4/9 1:00,18.2,0,19,0,0
2017/4/9 2:00,18,0,19.5,0,0
2017/4/9 3:00,17.6,0,19.5,0,0
2017/4/9 4:00,17.8,0,19.5,0,0
2017/4/9 5:00,16.7,0,20,0,0
2017/4/9 6:00,15.8,0,20,0,0
2017/4/9 7:00,15.4,0,20,0,0
2017/4/9 8:00,15.1,0,20,0,0
2017/4/9 9:00,16.2,0.36,20.5,0,11
2017/4/9 10:00,17.1,0.22,22,91.51756,60
2017/4/9 11:00,17.7,0,23,0,60
2017/4/9 12:00,17.9,0,23.5,0,60
2017/4/9 13:00,17,0,23.5,0,60
2017/4/9 14:00,15.7,0,24,0,60
2017/4/9 15:00,15,0,24,0,60
2017/4/9 16:00,15,0,24.5,0,60
2017/4/9 17:00,14.6,0,24.5,0,60
2017/4/9 18:00,13.7,0,24.5,0,60
2017/4/9 19:00,13.2,0,24.5,0,60
2017/4/9 20:00,12.8,0,24.5,0,60
2017/4/9 21:00,11.9,0,24.5,0,45
2017/4/9 22:00,11.2,0,24.5,0,0
2017/4/9 23:00,10.6,0,23.5,0,0
2017/4/10 0:00,10.3,0,23,0,0
2017/4/10 1:00,10,0,22.5,0,0
2017/4/10 2:00,9.5,0,22,0,0
2017/4/10 3:00,9.2,0,21.5,0,0
2017/4/10 4:00,8.8,0,21.5,0,0
2017/4/10 5:00,8.3,0,21,0,0
2017/4/10 6:00,9.1,0,21,0,0
2017/4/10 7:00,10.7,0,21,0,0
2017/4/10 8:00,11.2,0,21,0,0
2017/4/10 9:00,12.3,0,21,0,0
2017/4/10 10:00,13.7,0,21,0,0
2017/4/10 11:00,14.5,0,22,0,0
2017/4/10 12:00,15.7,0,23,0,0
2017/4/10 13:00,16.6,0,24,0,0
2017/4/10 14:00,16.9,0,22,0,0
2017/4/10 15:00,15.6,0,21,0,0
2017/4/10 16:00,15,0,21.5,0,0
2017/4/10 17:00,14.7,0,21.5,0,0
2017/4/10 18:00,14.4,0,21.5,0,0
2017/4/10 19:00,14.4,0,21.5,0,0
2017/4/10 20:00,14.2,0,21.5,0,0
2017/4/10 21:00,14,0,21.5,0,0
2017/4/10 22:00,14.3,0,21.5,0,0
2017/4/10 23:00,14.2,0,21.5,0,0
2017/4/11 0:00,13.6,0,21.5,0,0
2017/4/11 1:00,12.9,0,21.5,0,0
2017/4/11 2:00,13.9,0,21,0,0
2017/4/11 3:00,12.5,0,21,0,0
2017/4/11 4:00,11.3,0,21,0,0
2017/4/11 5:00,11.3,0,20.5,0,0
2017/4/11 6:00,12,0,20.5,0,0
2017/4/11 7:00,12.4,0,20.5,0,0
2017/4/11 8:00,12.5,0,20.5,0,0
2017/4/11 9:00,12.9,0,20.5,0,0
2017/4/11 10:00,13.5,0,20.5,0,0
2017/4/11 11:00,13.5,0,20.5,0,0
2017/4/11 12:00,12.9,0,21,0,0
2017/4/11 13:00,13,0,21.5,0,0
2017/4/11 14:00,13.6,0,21.5,0,0
2017/4/11 15:00,13.1,0,21.5,0,0
2017/4/11 16:00,12.7,0,21,0,0
2017/4/11 17:00,13,0,21,0,0
2017/4/11 18:00,13.3,0,21,0,0
2017/4/11 19:00,12.9,0,21,0,0
2017/4/11 20:00,12.7,0,21,0,0
2017/4/11 21:00,12.8,0,21,0,0
2017/4/11 22:00,13.1,0,21,0,0
2017/4/11 23:00,13.3,0,21,0,0
2017/4/12 0:00,13,0,20.5,0,0
2017/4/12 1:00,13.2,0,20.5,0,0
2017/4/12 2:00,13.9,0,20.5,0,0
2017/4/12 3:00,13.7,0,20.5,0,0
2017/4/12 4:00,13.7,0,20,0,0
2017/4/12 5:00,13.7,0,20,0,0
2017/4/12 6:00,13.7,0,20,0,0
2017/4/12 7:00,13.7,0,20,0,0
2017/4/12 8:00,13.9,0.38,20.5,0,21
2017/4/12 9:00,13.4,0,23,0,60
2017/4/12 10:00,13.9,0,23.5,0,60
2017/4/12 11:00,13.9,0,24.5,0,60
2017/4/12 12:00,15.6,0,24.5,0,60
2017/4/12 13:00,15.3,0,24.5,0,60
2017/4/12 14:00,14.7,0,24.5,0,60
2017/4/12 15:00,14.8,0,25,0,60
2017/4/12 16:00,14.1,0,25,0,60
2017/4/12 17:00,13.1,0,25,0,60
2017/4/12 18:00,12.1,0,25,0,60
2017/4/12 19:00,11.2,0,25,0,60
2017/4/12 20:00,10.8,0,25,0,60
2017/4/12 21:00,10,0,24.5,0,60
2017/4/12 22:00,9.5,0,24.5,0,6
2017/4/12 23:00,9.2,0,24,0,0
2017/4/13 0:00,8.9,0,23,0,0
2017/4/13 1:00,8.5,0,22.5,0,0
2017/4/13 2:00,7.9,0,22,0,0
2017/4/13 3:00,7.5,0,21.5,0,0
2017/4/13 4:00,7,0,21.5,0,0
2017/4/13 5:00,6.8,0,21,0,0
2017/4/13 6:00,7.8,0,21,0,0
2017/4/13 7:00,9.8,0,21,0,0
2017/4/13 8:00,12.5,0,20.5,0,0
2017/4/13 9:00,14.2,0,20.5,0,0
2017/4/13 10:00,15.3,0,20.5,0,0
2017/4/13 11:00,16.4,0,20.5,0,0
2017/4/13 12:00,16.9,0,20.5,0,0
2017/4/13 13:00,17.1,0,20.5,0,0
2017/4/13 14:00,17.5,0,21,0,0
2017/4/13 15:00,16.9,0,21,0,0
2017/4/13 16:00,16.9,0,21,0,0
2017/4/13 17:00,16.6,0,21,0,0
2017/4/13 18:00,16.2,0,21.5,0,0
2017/4/13 19:00,16.2,0,21.5,0,0
2017/4/13 20:00,15.7,0,21.5,0,0
2017/4/13 21:00,14.7,0,21.5,0,0
2017/4/13 22:00,14.7,0,21.5,0,0
2017/4/13 23:00,13.3,0,21,0,0
2017/4/14 0:00,12.5,0,21,0,0
2017/4/14 1:00,11.1,0,20.5,0,0
2017/4/14 2:00,10.8,0,20.5,0,0
2017/4/14 3:00,10.2,0,20.5,0,0
2017/4/14 4:00,9.9,0,20,0,0
2017/4/14 5:00,9.6,0,20,0,0
2017/4/14 6:00,11,0,20,0,0
2017/4/14 7:00,13.1,0,20,0,0
2017/4/14 8:00,17.2,0,20,0,0
2017/4/14 9:00,18,0.24,20.5,0,8
2017/4/14 10:00,19.6,0,23,70.83619,31
2017/4/14 11:00,20,0,23,0,0
2017/4/14 12:00,21.3,0,22,0,0
2017/4/14 13:00,21.7,0,22,0,0
2017/4/14 14:00,21.1,0,21.5,0,0
2017/4/14 15:00,21.8,0,21.5,0,0
2017/4/14 16:00,20.5,0,21.5,0,0
2017/4/14 17:00,19.2,0,21.5,0,0
2017/4/14 18:00,18.5,0,21,0,0
2017/4/14 19:00,19.5,0,21,0,0
2017/4/14 20:00,18.9,0,20.5,0,0
2017/4/14 21:00,18.9,0,20.5,0,0
2017/4/14 22:00,18.5,0,20.5,0,0
2017/4/14 23:00,18.1,0,20.5,0,0
2017/4/15 0:00,18.2,0,20,0,0
2017/4/15 1:00,17.9,0,20,0,0
2017/4/15 2:00,17.7,0,20,0,0
2017/4/15 3:00,16.6,0,20,0,0
2017/4/15 4:00,16.1,0,20,0,0
2017/4/15 5:00,17,0,20,0,0
2017/4/15 6:00,17.1,0,20,0,0
2017/4/15 7:00,19.4,0,20,0,0
2017/4/15 8:00,21.2,0,20,0,0
2017/4/15 9:00,21,0,20,0,0
2017/4/15 10:00,20.6,0,20.5,0,0
2017/4/15 11:00,17.5,0,20.5,0,0
2017/4/15 12:00,19.6,0,20.5,0,0
2017/4/15 13:00,20.7,0.25,21.5,0,60
2017/4/15 14:00,20.7,0,24,0,60
2017/4/15 15:00,20.4,0,24.5,0,60
2017/4/15 16:00,19.8,0,25,0,60
2017/4/15 17:00,19.7,0,25,0,60
2017/4/15 18:00,18.5,0,25,0,60
2017/4/15 19:00,18.9,0,25,0,60
2017/4/15 20:00,18.7,0,24.5,0,60
2017/4/15 21:00,17.9,0,24.5,0,60
2017/4/15 22:00,18.6,0,24.5,0,60
2017/4/15 23:00,17.9,0,24.5,0,51
2017/4/16 0:00,17.4,0,24,0,0
2017/4/16 1:00,17,0,23.5,0,0
2017/4/16 2:00,16.7,0,23,0,0
2017/4/16 3:00,16.2,0,22.5,0,0
2017/4/16 4:00,15.8,0,22,0,0
2017/4/16 5:00,15.4,0,21.5,0,0
2017/4/16 6:00,16.5,0,21.5,0,0
2017/4/16 7:00,18,0,21.5,0,0
2017/4/16 8:00,19.3,0,21.5,0,0
2017/4/16 9:00,21.1,0,21.5,0,0
2017/4/16 10:00,22.3,0,21.5,0,0
2017/4/16 11:00,22.9,0,22.5,0,0
2017/4/16 12:00,23.4,0,22.5,0,0
2017/4/16 13:00,23.3,0,22.5,0,0
2017/4/16 14:00,23.4,0,22.5,0,0
2017/4/16 15:00,23.5,0,22.5,0,0
2017/4/16 16:00,23,0,22.5,0,0
2017/4/16 17:00,21.8,0,22,0,0
2017/4/16 18:00,21.3,0,22,0,0
2017/4/16 19:00,20.1,0,21.5,0,0
2017/4/16 20:00,19.6,0,21.5,0,0
2017/4/16 21:00,19.4,0,21,0,0
2017/4/16 22:00,19,0,21,0,0
2017/4/16 23:00,18.4,0,21,0,0
2017/4/17 0:00,17.3,0,21,0,0
2017/4/17 1:00,17.4,0,20.5,0,0
2017/4/17 2:00,17.3,0,21,0,0
2017/4/17 3:00,16.6,0,21,0,0
2017/4/17 4:00,16.4,0,20.5,0,0
2017/4/17 5:00,16.2,0,20.5,0,0
2017/4/17 6:00,17.2,0,20.5,0,0
2017/4/17 7:00,19.2,0,21,0,0
2017/4/17 8:00,19.7,0,21,0,0
2017/4/17 9:00,21.4,0,21.5,0,0
2017/4/17 10:00,22.4,0,22,0,0
2017/4/17 11:00,21.7,0,22.5,0,0
2017/4/17 12:00,20.7,0,24,0,0
2017/4/17 13:00,18.8,0,24,0,0
2017/4/17 14:00,18.1,0,23.5,0,0
2017/4/17 15:00,18,0,23,0,0
2017/4/17 16:00,18.2,0,23,0,0
2017/4/17 17:00,18.3,0,22.5,0,0
2017/4/17 18:00,17.1,0,22.5,0,0
2017/4/17 19:00,17.1,0,22,0,0
2017/4/17 20:00,17.6,0,22,0,0
2017/4/17 21:00,18,0,21.5,0,0
2017/4/17 22:00,20.5,0,21.5,0,0
2017/4/17 23:00,20,0,21.5,0,0
2017/4/18 0:00,19.4,0,21.5,0,0
2017/4/18 1:00,21.5,0,21,0,0
2017/4/18 2:00,18.8,0,21,0,0
